column header,Indicator,Analysis
vendors_operational,Number of days operational,"Mean, median"
price_of_1kg,Cheapest price of rice per kg,"Mean, median"
rice_sale_in_past_week,Days rice for sale,days for sale / days vendor open
days_of_stock_of_rice,Days stock of rice,"0-3 days, 4-7 days, 7+"
restocking_time_of_rice,Rice restocking timeline,"0-3 days, 4-7 days, 7+"
cheapest_price_for_cooking_oil,Cheapest price of cooking oil,"Mean, median"
oil_sale_in_past_week,Days cooking oil for sale,days for sale / days vendor open
days_of_stock_of_cooking_oil,Days of stock cooking oil,"0-3 days, 4-7 days, 7+"
restocking_time_of_cooking_oil,Cooking oil restocking timeline,"0-3 days, 4-7 days, 7+"
cheapest_price_for_1kg_of_lentils,Cheapest price of lentils,"Mean, median"
lentils_sale_in_past_week,Days lentils for sale,days for sale / days vendor open
days_of_stock_of_lentils,Days of stock of lentils,"0-3 days, 4-7 days, 7+"
restocking_time_of_lentils,Lentils restocking timeline,"0-3 days, 4-7 days, 7+"
cheapest_price_for_0.5kg_of_leafy_greens,Average cheapest price of leafy greens,"Mean, median"
leafy_greens_sale_in_past_week,Average % of days leafy greens for sale,days for sale / days vendor open
days_of_stock_of_leafy_greens,Average number of days leafy greens stock available?,"0-3 days, 4-7 days, 7+"
restocking_time_of_leafy_greens,Average leafy greens restocking timeline,"0-3 days, 4-7 days, 7+"
cheapest_price_for_1kg_of_bananas,Average cheapest price of bananas,"Mean, median"
bananas_sale_in_past_week,Average % of days bananas for sale,days for sale / days vendor open
days_of_stock_of_bananas,Average number of days bananas stock available?,"0-3 days, 4-7 days, 7+"
restocking_time_of_bananas,Average bananas restocking timeline,"0-3 days, 4-7 days, 7+"
cheapest_price_for_12__of_eggs,Average cheapest price of eggs,"Mean, median"
eggs_sale_in_past_week,Average % of days eggs for sale,days for sale / days vendor open
days_of_stock_of_eggs,Average number of days eggs stock available?,"0-3 days, 4-7 days, 7+"
restocking_time_of_eggs,Average eggs restocking timeline,"0-3 days, 4-7 days, 7+"
cheapest_price_for_1kg__of_fish,Average cheapest price of fresh fish,"Mean, median"
fish_sale_in_past_week,Average % of days fresh fish for sale,days for sale / days vendor open
days_of_stock_of_fish,Average number of days fresh fish stock available?,"0-3 days, 4-7 days, 7+"
restocking_time_of_fish,Average fresh fish restocking timeline,"0-3 days, 4-7 days, 7+"
cheapest_price_for_100g_soap_bar_of_soap,Average cheapest price of soap,"Mean, median"
soap_sale_in_past_week,Average % of days soap for sale,days for sale / days vendor open
days_of_stock_of_soap,Average number of days soap stock available?,"0-3 days, 4-7 days, 7+"
restocking_time_of_soap,Average soap restocking timeline,"0-3 days, 4-7 days, 7+"
cheapest_price_for_0_5l_of_bleachwashing_powder,Average cheapest price of washing powder,"Mean, median"
washing_powder_sale_in_past_week,Average % of days washing powder for sale,days for sale / days vendor open
days_of_stock_of_washing_powder,Average number of days washing powder stock available?,"0-3 days, 4-7 days, 7+"
restocking_time_of_washing_powder,Average washing powder restocking timeline,"0-3 days, 4-7 days, 7+"
cheapest_price_for_12_of_paracetamol,Average cheapest price of paracetamol,"Mean, median"
paracetamol_sale_in_past_week,Average % of days paracetamol for sale,days for sale / days vendor open
days_of_stock_of_paracetamol,Average number of days paracetamol stock available?,"Mean, median"
restocking_time_of_paracetamol,Average paracetamol restocking timeline,"Mean, median"
cheapest_price_for_4mx5m_of_tarpaulin,Average cheapest price of tarpaulin,"Mean, median"
tarpaulin_sale_in_past_week,Average % of days tarpaulin for sale,days for sale / days vendor open
days_of_stock_of_tarpaulin,Average number of days tarpaulin stock available?,Mean
restocking_time_of_tarpaulin,Average tarpaulin restocking timeline,Mean
fresh_food_items,% Fresh food supplier,"% inside camp, % outside camp, % other"
non_fresh_food_items,% Non-fresh food supplier,"% inside camp, % outside camp, % other"
non_fresh_food_items_1,% Hygiene NFI supplier,"% inside camp, % outside camp, % other"
non_fresh_food_items_2,% Other NFI supplier,"% inside camp, % outside camp, % other"
assistance_items,% reselling assistance items,"% yes, % no"
assistance_items_if_yes.food_assistance_items,% reselling food assistance items,%
assistance_items_if_yes.clothing,% reselling NFIs assistance items,%
assistance_items_if_yes.hygiene_nfis,% reselling hygiene NFIs assistance items,%
assistance_items_if_yes.shelter_items,% reselling shelter assistance items,%
assistance_items_if_yes.other,% reselling other assistance items,%
faced_any_difficulties,% facing difficulties in restocking,%
difficulties_faced_in_replenishing.i_cannot_restock,Restocking difficulty - I cannot restock due to the closure of the borders,%
